id,description,category,standard,active
178.53.0.2.00,HERNIORRAFIA INGUINAL INDIRECTA SOD,Cirugía,PDSS 10.0,1
179.53.4.2.00,HERNIORRAFIA UMBILICAL CON PROTESIS SOD,Cirugía,PDSS 10.0,1
180.53.5.1.00,REPARACION DE HERNIA INCISIONAL (EVENTRACION) SOD,Cirugía,PDSS 10.0,1
181.54.1.0.00,LAPAROTOMIA DE PRECISION SOD +,Cirugía,PDSS 10.0,1
182.54.9.0.03,COLOCACION DE CATETERES PARA DERIVACION VENTRICULOPERITONEAL Y PERITONEOVENTRICULAR,Cirugía,PDSS 10.0,1
184.55.1.1.20,EXTRACCION DE CUERPO EXTRAÑO Y/O CALCULO POR PIELOTOMIA,Cirugía,PDSS 10.0,1
185.55.4.1.01,HEMINEFRECTOMIA POR VIA ABIERTA,Cirugía,PDSS 10.0,1
186.55.5.6.00,NEFRECTOMIA SIMPLE UNILATERAL TOTAL,Cirugía,PDSS 10.0,1
189.55.7.0.00,NEFROPEXIA SOD,Cirugía,PDSS 10.0,1
190.55.8.6.20,ANASTOMOSIS PIELO-URETERO-VESICAL,Cirugía,PDSS 10.0,1
191.55.8.7.01,PIELOPLASTIA VIA ABIERTA,Cirugía,PDSS 10.0,1
192.55.9.2.20,DRENAJE PERCUTANEO DE COLECCION O QUISTE RENAL +,Cirugía,PDSS 10.0,1
194.56.6.0.00,URETEROSTOMIA CUTÁNEA SOD,Cirugía,PDSS 10.0,1
195.57.3.2.01,CISTOSCOPIA TRANSURETRAL,Cirugía,PDSS 10.0,1
196.57.6.0.00,"CISTECTOMIA PARCIAL, VIA ABIERTA SOD +",Cirugía,PDSS 10.0,1
197.57.7.0.05,CISTECTOMIA TOTAL CON URETRECTOMIA,Cirugía,PDSS 10.0,1
198.57.7.1.30,"ESCISION O REMOCION DE VEJIGA, PROSTATA, VESICULAS SEMINALES Y TEJIDO GRASO (CISTOPROSTATECTOMIA)",Cirugía,PDSS 10.0,1
199.57.8.1.00,SUTURA DE LACERACION O DESGARRO VESICAL (CISTORRAFIA) SOD,Cirugía,PDSS 10.0,1
200.57.8.3.01,FISTULECTOMIA RECTO-VESICAL O RECTO-VESICO-VAGINAL,Cirugía,PDSS 10.0,1
201.57.8.3.02,FISTULECTOMIA VESICO-SIGMOIDO-VAGINAL,Cirugía,PDSS 10.0,1
202.57.8.4.01,FISTULECTOMIA CERVICO-VESICAL,Cirugía,PDSS 10.0,1
203.57.8.4.02,FISTULECTOMIA VÉSICO-VAGINAL,Cirugía,PDSS 10.0,1
204.57.8.4.03,FISTULECTOMIA UTERO-VESICAL (VESICOUTERINA),Cirugía,PDSS 10.0,1
205.57.8.4.50,FISTULECTOMIA URETRO-PERINEO-VESICAL,Cirugía,PDSS 10.0,1
206.57.8.5.00,CISTOURETROPLASTIA Y PLASTIA DE CUELLO VESICAL SOD §,Cirugía,PDSS 10.0,1
207.57.8.6.00,REPARACION DE EXTROFIA VESICAL SOD,Cirugía,PDSS 10.0,1
208.57.9.9.50,PROCEDIMIENTO ANTIINCONTINENCIA URINARIA MASCULINA,Cirugía,PDSS 10.0,1
209.58.0.0.50,URETROTOMIA INTERNA ENDOSCOPICA,Cirugía,PDSS 10.0,1
210.58.2.1.00,URETROSCOPIA PERINEAL SOD,Cirugía,PDSS 10.0,1
211.57.6.0.61,RESECCION TRANSURETRAL [ENDOSCOPICA] DE CUELLO VESICAL +,Cirugía,PDSS 10.0,1
212.58.3.2.30,"URETRECTOMIA SIMPLE, VIA ABIERTA",Cirugía,PDSS 10.0,1
213.58.3.2.40,"URETRECTOMIA RADICAL, VIA ABIERTA",Cirugía,PDSS 10.0,1
214.58.4.1.01,URETRORRAFIA FEMENINA,Cirugía,PDSS 10.0,1
215.58.4.1.02,URETRORRAFIA PENEANA,Cirugía,PDSS 10.0,1
216.58.4.3.01,CIERRE DE FISTULA URETRORRECTAL,Cirugía,PDSS 10.0,1
217.58.4.5.00,REPARACION DE EPISPADIAS O HIPOSPADIAS SOD +,Cirugía,PDSS 10.0,1
218.58.4.5.30,"MAGPI: MEATOPLASTIA, GLANDULOPLASTIA, AVANZAMIENTO §",Cirugía,PDSS 10.0,1
219.58.4.7.00,MEATOPLASTIA URETRAL SOD,Cirugía,PDSS 10.0,1
220.58.7.0.10,URETROLITOTOMIA ENDOSCOPICA,Cirugía,PDSS 10.0,1
222.59.0.2.00,URETEROLISIS CON LIBERACION O REPOSICIONAMIENTO DE URETER SOD +,Cirugía,PDSS 10.0,1
223.59.0.5.00,DRENAJE PERCUTANEO DE COLECCION EN AREA PERIRRENAL SOD +,Cirugía,PDSS 10.0,1
224.59.7.9.90,REPARACION DE INCONTINENCIA URINARIA DE ESFUERZO NCOC,Cirugía,PDSS 10.0,1
226.60.9.5.00,DILATACION TRANSURETRAL CON BALON DE URETRA PROSTATICA SOD,Cirugía,PDSS 10.0,1
227.61.0.1.01,INCISION Y DRENAJE DE ESCROTO Y TUNICA VAGINALIS +,Cirugía,PDSS 10.0,1
228.62.0.1.00,DRENAJE POR INCISION EN TESTICULO SOD,Cirugía,PDSS 10.0,1
229.62.3.0.00,ORQUIECTOMIA (TESTICULO) SOD +,Cirugía,PDSS 10.0,1
231.62.3.0.01,ORQUIECTOMIA CON EPIDIDIDECTOMIA (RADICAL) +,Cirugía,PDSS 10.0,1
232.63.5.2.00,REDUCCION DE TORSION TESTICULAR O CORDON ESPERMATICO SOD,Cirugía,PDSS 10.0,1
233.63.7.3.00,VASECTOMIA SOD,Cirugía,PDSS 10.0,1
234.63.9.2.00,INCISION (EPIDIDIMOTOMIA)Y DRENAJE DEL EPIDIDIMO SOD,Cirugía,PDSS 10.0,1
235.64.0.0.00,CIRCUNCISIÓN SOD +,Cirugía,PDSS 10.0,1
237.64.2.1.00,FULGURACION O RESECCION DE LESION EN PENE SOD +,Cirugía,PDSS 10.0,1
238.64.3.1.00,AMPUTACION PARCIAL DEL PENE O PENECTOMIA PARCIAL SOD,Cirugía,PDSS 10.0,1
239.64.3.2.00,AMPUTACION TOTAL DEL PENE O PENECTOMIA TOTAL SOD,Cirugía,PDSS 10.0,1
240.64.4.9.20,PLASTIA DE FRENILLO PENEAL,Cirugía,PDSS 10.0,1
241.64.9.1.00,CORTE DORSAL O LATERAL EN PREPUCIO SOD +,Cirugía,PDSS 10.0,1
242.64.9.8.03,"IRRIGACION, PUNCION O DRENAJE DE CUERPO CAVERNOSO",Cirugía,PDSS 10.0,1
243.64.9.8.05,INCISION Y DRENAJE DE FLEGMON PENEANO,Cirugía,PDSS 10.0,1
244.65.2.1.01,CISTECTOMIA DE OVARIO POR LAPAROTOMIA +,Cirugía,PDSS 10.0,1
245.65.9.3.00,ESCISION DE EMBARAZO ECTOPICO OVARICO SIN OOFORECTOMIA SOD,Cirugía,PDSS 10.0,1
246.66.3.1.00,SECCION Y/O LIGADURA DE TROMPAS DE FALOPIO [CIRUGIA DE POMEROY] POR MINILAPAROTOMIA SOD +,Cirugía,PDSS 10.0,1
247.66.7.2.00,SALPINGOOFOROTOMIA SOD,Cirugía,PDSS 10.0,1
248.66.7.4.00,SALPINGOHISTEROTOMIA (SALPINGO-UTEROSTOMIA) SOD +,Cirugía,PDSS 10.0,1
